id_empresa,anio,provincia,codigo_provincia,canton,codigo_canton,seccion,codigo_division,codigo_clase,clase,ventas_totales,ventas_nacionales,ventas_rimpe,ventas_totales_rimpe,estrato_ventas,tamanoe_empleo,tamanoe_plazas
13584329011,2024,MORONA SANTIAGO,14,MORONA,1401,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,8794.0,8794.0,1,1,1
13587306012,2024,MORONA SANTIAGO,14,MORONA,1401,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,4800.0,4800.0,1,1,1
13599456010,2024,MORONA SANTIAGO,14,GUALAQUIZA,1402,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,,0.0,1,1,1
13614059049,2024,TUNGURAHUA,18,AMBATO,1801,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,864.0,864.0,1,1,1
13621494052,2024,TUNGURAHUA,18,AMBATO,1801,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",,,,, ,1,1
13623557051,2024,TUNGURAHUA,18,AMBATO,1801,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",,,,, ,1,1
13625295054,2024,TUNGURAHUA,18,AMBATO,1801,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,5000.0,5000.0,1,1,1
13626635053,2024,TUNGURAHUA,18,AMBATO,1801,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,,0.0,1,1,1
13631139064,2024,TUNGURAHUA,18,BAÑOS DE AGUA SANTA,1802,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,7754.0,7754.0,1,1,1
13631175061,2024,TUNGURAHUA,18,SANTIAGO DE PÍLLARO,1808,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,2750.0,2750.0,1,1,1
13636971060,2024,TUNGURAHUA,18,AMBATO,1801,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",,,,, ,1,1
13642420075,2024,MORONA SANTIAGO,14,LIMÓN INDANZA,1403,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,12300.0,12300.0,1,1,1
13667948091,2024,TUNGURAHUA,18,AMBATO,1801,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,2100.0,2100.0,1,1,1
13683907094,2024,TUNGURAHUA,18,AMBATO,1801,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,9808.0,9808.0,1,1,1
13764310149,2024,MORONA SANTIAGO,14,MORONA,1401,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,7655.0,7655.0,1,1,1
13764430144,2024,MORONA SANTIAGO,14,LIMÓN INDANZA,1403,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,,0.0,1,1,1
13764501149,2024,MORONA SANTIAGO,14,LIMÓN INDANZA,1403,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,G4761,"Venta al por menor de libros, periódicos y artículos de papelería en comercios especializados.",0.0,0.0,,0.0,1,1,1
